x,z,y
152.673,577.632,0.0
563.175,464.418,0.0
-3.494,468.094,0.0
254.996,736.003,0.0
419.439,324.229,0.0
264.760,713.464,0.0
271.587,412.853,0.0
-41.782,646.498,0.0
135.558,304.168,0.0
-0.556,484.882,0.0
540.810,316.857,0.0
415.016,368.889,0.0
548.810,175.024,0.0
84.967,613.316,0.0
-16.221,588.548,0.0
220.669,170.383,0.0
487.871,341.865,0.0
345.886,263.831,0.0
381.424,599.400,0.0
139.875,353.336,0.0
-75.965,289.692,0.0
304.860,168.300,0.0
303.394,631.040,0.0
229.702,383.092,0.0
36.690,287.132,0.0
409.894,567.258,0.0
91.059,366.248,0.0
233.060,46.097,0.0
337.597,347.114,0.0
-15.543,394.008,0.0
298.147,516.973,0.0
246.536,459.218,0.0
399.089,236.955,0.0
273.602,269.051,0.0
21.711,273.862,0.0
499.953,435.550,0.0
-19.328,436.006,0.0
216.221,43.526,0.0
282.734,428.309,0.0
556.460,508.901,0.0
373.909,275.848,0.0
413.711,482.827,0.0
388.826,361.627,0.0
220.258,778.260,0.0
272.769,233.897,0.0
252.258,584.367,0.0
110.497,705.125,0.0
141.174,754.104,0.0
503.092,508.091,0.0
317.101,528.456,0.0
-11.751,455.067,0.0
127.213,375.729,0.0
292.389,287.895,0.0
300.369,444.414,0.0
69.596,381.919,0.0
163.474,41.422,0.0
-48.931,228.366,0.0
221.551,311.085,0.0
288.944,34.741,0.0
337.243,111.551,0.0
506.222,415.654,0.0
122.615,716.519,0.0
230.983,552.110,0.0
244.650,620.296,0.0
213.924,474.001,0.0
242.366,153.926,0.0
268.600,162.560,0.0
80.035,493.296,0.0
326.885,472.913,0.0
513.746,607.114,0.0
175.132,615.631,0.0
-86.811,573.464,0.0
128.668,668.696,0.0
120.660,261.313,0.0
-23.643,271.583,0.0
516.791,343.298,0.0
308.153,731.254,0.0
177.345,649.306,0.0
-79.319,403.420,0.0
-67.240,272.725,0.0
387.382,537.818,0.0
105.967,277.310,0.0
224.004,460.806,0.0
394.010,440.256,0.0
192.000,102.851,0.0
269.574,757.660,0.0
11.381,397.730,0.0
108.292,120.671,0.0
147.772,51.576,0.0
18.118,581.189,0.0
238.691,127.687,0.0
164.905,292.823,0.0
252.282,650.936,0.0
334.261,216.146,0.0
124.005,139.423,0.0
-3.637,282.725,0.0
116.491,438.641,0.0
376.212,232.723,0.0
177.989,312.448,0.0
284.596,199.369,0.0
-15.381,245.568,0.0
-38.190,250.314,0.0
218.541,667.872,0.0
149.086,460.475,0.0
-113.500,566.244,0.0
-0.157,529.940,0.0
-64.555,480.854,0.0
156.518,339.456,0.0
17.970,373.786,0.0
550.816,190.560,0.0
178.941,745.019,0.0
234.912,597.062,0.0
